Name,IATA,Latitude,Longitude,distance
Port Hardy Airport,YZT,50.68059921264648,-127.36699676513672,Ellipsis
Whitecourt Airport,YZU,54.14390182495117,-115.78700256347656,Ellipsis
Sept-Îles Airport,YZV,50.22330093383789,-66.2656021118164,Ellipsis
Teslin Airport,YZW,60.17279815673828,-132.7429962158203,Ellipsis
CFB Greenwood,YZX,44.98440170288086,-64.91690063476562,Ellipsis
Faro Airport,ZFA,62.20750045776367,-133.37600708007812,Ellipsis
Fort Mcpherson Airport,ZFM,67.40750122070312,-134.86099243164062,Ellipsis
Blida Airport,QLD,36.50360107421875,2.814169883728028,Ellipsis
Bou Saada Airport,BUJ,35.33250045776367,4.206389904022217,Ellipsis
Soummam Airport,BJA,36.7120018005,5.0699200630200005,Ellipsis
Houari Boumediene Airport,ALG,36.69100189208984,3.215409994125366,Ellipsis
Djanet Inedbirene Airport,DJG,24.292801,9.45244,Ellipsis
Illizi Takhamalt Airport,VVZ,26.7234992981,8.62265014648,Ellipsis
Aguenar – Hadj Bey Akhamok Airport,TMR,22.8115005493,5.45107984543,Ellipsis
Jijel Ferhat Abbas Airport,GJL,36.7951011658,5.87361001968,Ellipsis
Mecheria Airport,MZW,33.535900116,-0.242353007197,Ellipsis
Rabah Bitat Airport,AAE,36.822201,7.809174,Ellipsis
Mohamed Boudiaf International Airport,CZL,36.2760009765625,6.620389938354492,Ellipsis
Cheikh Larbi Tébessi Airport,TEE,35.4315986633,8.12071990967,Ellipsis
Hassi R'Mel Airport,HRM,32.93040084838867,3.311539888381958,Ellipsis
Bou Chekif Airport,TID,35.3410987854,1.46315002441,Ellipsis
Tindouf Airport,TIN,27.7003993988,-8.167099952700001,Ellipsis
Ech Cheliff Airport,CFK,36.2126998901,1.33176994324,Ellipsis
Tafaraoui Airport,TAF,35.54240036010742,-0.5322780013084412,Ellipsis
Zenata – Messali El Hadj Airport,TLM,35.0167007446,-1.45000004768,Ellipsis
Es Senia Airport,ORN,35.6239013672,-0.6211829781529999,Ellipsis
Sidi Bel Abbes Airport,BFW,35.1717987061,-0.593275010586,Ellipsis
Ghriss Airport,MUW,35.207698822021484,0.1471419930458068,Ellipsis
Touat Cheikh Sidi Mohamed Belkebir Airport,AZR,27.83760070800781,-0.1864140033721923,Ellipsis
Biskra Airport,BSK,34.7933006287,5.73823022842,Ellipsis
El Golea Airport,ELG,30.5713005065918,2.8595900535583496,Ellipsis
Noumérat - Moufdi Zakaria Airport,GHA,32.38410186767578,3.794110059738159,Ellipsis
Oued Irara Airport,HME,31.6730003357,6.140439987180001,Ellipsis
In Salah Airport,INZ,27.2509994507,2.51202011108,Ellipsis
Touggourt Sidi Madhi Airport,TGR,33.06779861450195,6.088669776916504,Ellipsis
Laghouat Airport,LOO,33.7644004822,2.92833995819,Ellipsis
Timimoun Airport,TMX,29.2371006012,0.276033014059,Ellipsis
Ain el Beida Airport,OGX,31.917200088500977,5.412779808044434,Ellipsis
In Aménas Airport,IAM,28.0515,9.64291,Ellipsis
Cadjehoun Airport,COO,6.357230186462402,2.384350061416626,Ellipsis
Ouagadougou Airport,OUA,12.3532,-1.51242,Ellipsis
Bobo Dioulasso Airport,BOY,11.160099983215332,-4.33096981048584,Ellipsis
Kotoka International Airport,ACC,5.605189800262451,-0.1667860001325607,Ellipsis
Tamale Airport,TML,9.55718994140625,-0.8632140159606934,Ellipsis
Sunyani Airport,NYI,7.361830234527588,-2.3287599086761475,Ellipsis
Takoradi Airport,TKD,4.896059989929199,-1.7747600078582764,Ellipsis
Port Bouet Airport,ABJ,5.261390209197998,-3.9262900352478023,Ellipsis
Bouaké Airport,BYK,7.738800048828125,-5.073669910430908,Ellipsis
Daloa Airport,DJO,6.792809963226318,-6.473189830780029,Ellipsis
Korhogo Airport,HGO,9.38718032837,-5.55666017532,Ellipsis
Man Airport,MJC,7.272069931030273,-7.58735990524292,Ellipsis
San Pedro Airport,SPY,4.746719837188721,-6.660820007324219,Ellipsis
Yamoussoukro Airport,ASK,6.9031701088,-5.36558008194,Ellipsis
Nnamdi Azikiwe International Airport,ABV,9.006790161132812,7.263169765472412,Ellipsis
Akure Airport,AKR,7.246739864349365,5.3010101318359375,Ellipsis
Benin Airport,BNI,6.316979885101318,5.599500179290772,Ellipsis
Margaret Ekpo International Airport,CBQ,4.976019859313965,8.347200393676758,Ellipsis
Akanu Ibiam International Airport,ENU,6.474269866943359,7.561960220336914,Ellipsis
Ibadan Airport,IBA,7.362460136413574,3.97832989692688,Ellipsis
Ilorin International Airport,ILR,8.440210342407227,4.493919849395752,Ellipsis
Yakubu Gowon Airport,JOS,9.639829635620115,8.869050025939941,Ellipsis
Kaduna Airport,KAD,10.696000099182127,7.320109844207764,Ellipsis
Mallam Aminu International Airport,KAN,12.0476,8.52462,Ellipsis
Maiduguri International Airport,MIU,11.855299949645996,13.080900192260742,Ellipsis
Makurdi Airport,MDI,7.70388,8.61394,Ellipsis
Murtala Muhammed International Airport,LOS,6.5773701667785645,3.321160078048706,Ellipsis
Minna Airport,MXJ,9.652170181274414,6.462259769439697,Ellipsis
Port Harcourt International Airport,PHC,5.0154900550842285,6.94959020614624,Ellipsis
Sadiq Abubakar III International Airport,SKO,12.916299819946287,5.207190036773682,Ellipsis
Yola Airport,YOL,9.257550239562988,12.430399894714355,Ellipsis
Zaria Airport,ZAR,11.1302,7.68581,Ellipsis
Maradi Airport,MFQ,13.5024995803833,7.1267499923706055,Ellipsis
Diori Hamani International Airport,NIM,13.4815,2.18361,Ellipsis
Tahoua Airport,THZ,14.875699996948242,5.265359878540039,Ellipsis
Mano Dayak International Airport,AJY,16.965999603271484,8.000109672546387,Ellipsis
Zinder Airport,ZND,13.779000282287598,8.983759880065918,Ellipsis
Monastir Habib Bourguiba International Airport,MIR,35.75809860229492,10.75469970703125,Ellipsis
Tunis Carthage International Airport,TUN,36.85100173950195,10.22719955444336,Ellipsis
Gafsa Ksar International Airport,GAF,34.422000885009766,8.822500228881836,Ellipsis
Gabès Matmata International Airport,GAE,33.87689971923828,10.103300094604492,Ellipsis
Djerba Zarzis International Airport,DJE,33.875,10.775500297546388,Ellipsis
El Borma Airport,EBM,31.70429992675781,9.254619598388672,Ellipsis
Sfax Thyna International Airport,SFA,34.71799850463867,10.690999984741213,Ellipsis
Tozeur Nefta International Airport,TOE,33.939701080322266,8.110560417175293,Ellipsis
Niamtougou International Airport,LRL,9.767330169677734,1.091249942779541,Ellipsis
Lomé-Tokoin Airport,LFW,6.165609836578369,1.2545100450515747,Ellipsis
Antwerp International Airport (Deurne),ANR,51.1893997192,4.46027994156,Ellipsis
Brussels Airport,BRU,50.9014015198,4.48443984985,Ellipsis
Brussels South Charleroi Airport,CRL,50.459202,4.45382,Ellipsis
Wevelgem Airport,KJK,50.817199707,3.20472002029,Ellipsis
Liège Airport,LGG,50.63740158081055,5.443220138549805,Ellipsis
Ostend-Bruges International Airport,OST,51.1988983154,2.8622200489,Ellipsis
Zoersel (Oostmalle) Airfield,OBL,51.264702,4.75333,Ellipsis
Altenburg-Nobitz Airport,AOC,50.981945,12.506389,Ellipsis
Riesa-Göhlis Airport,IES,51.2936096191,13.3561105728,Ellipsis
Rechlin-Lärz Airport,REB,53.306388855,12.7522220612,Ellipsis
Schönhagen Airport,QXH,52.203609,13.156389,Ellipsis
Barth Airport,BBH,54.338253,12.710515,Ellipsis
"Magdeburg ""City"" Airport",ZMG,52.073612,11.626389,Ellipsis
Cottbus-Drewitz Airport,CBU,51.889442,14.531944,Ellipsis
Berlin-Schönefeld Airport,SXF,52.380001,13.5225,Ellipsis
Dresden Airport,DRS,51.1328010559082,13.767200469970703,Ellipsis
Erfurt Airport,ERF,50.97980117797852,10.958100318908691,Ellipsis
Frankfurt am Main Airport,FRA,50.033333,8.570556,Ellipsis
Münster Osnabrück Airport,FMO,52.134601593,7.68483018875,Ellipsis
Hamburg Airport,HAM,53.630401611328,9.9882297515869,Ellipsis
Berlin-Tempelhof International Airport,THF,52.47299957275391,13.403900146484377,Ellipsis
Cologne Bonn Airport,CGN,50.8658981323,7.1427397728,Ellipsis
Düsseldorf Airport,DUS,51.289501,6.76678,Ellipsis
Munich Airport,MUC,48.353802,11.7861,Ellipsis
Nuremberg Airport,NUE,49.498699,11.078056,Ellipsis
Leipzig/Halle Airport,LEJ,51.423889,12.236389,Ellipsis
Saarbrücken Airport,SCN,49.2145996094,7.10950994492,Ellipsis
Stuttgart Airport,STR,48.6898994446,9.22196006775,Ellipsis
Berlin-Tegel Airport,TXL,52.5597,13.2877,Ellipsis
Hannover Airport,HAJ,52.461101532,9.68507957458,Ellipsis
Bremen Airport,BRE,53.0475006104,8.78666973114,Ellipsis
Frankfurt-Egelsbach Airport,QEF,49.959999,8.645833,Ellipsis
Frankfurt-Hahn Airport,HHN,49.9487,7.26389,Ellipsis
Mannheim-City Airport,MHG,49.473057,8.514167,Ellipsis
Eisenach-Kindel Airport,EIB,50.991604,10.47973,Ellipsis
Siegerland Airport,SGE,50.70769882202149,8.082969665527344,Ellipsis
Hamburg-Finkenwerder Airport,XFW,53.5352783203125,9.835556030273438,Ellipsis
Kiel-Holtenau Airport,KEL,54.37944412231445,10.145277976989746,Ellipsis
Lübeck Blankensee Airport,LBC,53.8054008484,10.7192001343,Ellipsis
Essen Mulheim Airport,ESS,51.40230178833008,6.9373297691345215,Ellipsis
Bielefeld Airport,BFE,51.964722,8.544444,Ellipsis
Mönchengladbach Airport,MGL,51.230278,6.504444,Ellipsis
Paderborn Lippstadt Airport,PAD,51.6141014099,8.616319656369999,Ellipsis
Dortmund Airport,DTM,51.51829910279999,7.61223983765,Ellipsis
Augsburg Airport,AGB,48.425278,10.931667,Ellipsis
Oberpfaffenhofen Airport,OBF,48.081402,11.2831,Ellipsis
Straubing Airport,RBM,48.90083312988281,12.516667366027832,Ellipsis
Friedrichshafen Airport,FDH,47.6712989807,9.51148986816,Ellipsis
Schwerin Parchim Airport,SZW,53.426998,11.7834,Ellipsis
Bayreuth Airport,BYU,49.985001,11.64,Ellipsis
Burg Feuerstein Airport,URD,49.794166564941,11.133610725403,Ellipsis
Hof-Plauen Airport,HOQ,50.288612365722656,11.856389045715332,Ellipsis
Zweibrücken Airport,ZQW,49.2094,7.40056,Ellipsis
Donaueschingen-Villingen Airport,ZQL,47.97333145139999,8.52222156525,Ellipsis
Braunschweig-Wolfsburg Airport,BWE,52.319199,10.5561,Ellipsis
Kassel-Calden Airport,KSF,51.417273,9.384967,Ellipsis
Bremerhaven Airport,BRV,53.506943,8.572778,Ellipsis
Emden Airport,EME,53.391109,7.2275,Ellipsis
Wilhelmshaven-Mariensiel Airport,WVN,53.502220153808594,8.05222225189209,Ellipsis
Borkum Airport,BMK,53.59639,6.709167,Ellipsis
Norderney Airport,NRD,53.70694351196289,7.230000019073486,Ellipsis
Flensburg-Schäferhaus Airport,FLF,54.77333450317383,9.378889083862305,Ellipsis
Westerland Sylt Airport,GWT,54.9132003784,8.34047031403,Ellipsis
Kärdla Airport,KDL,58.99079895019531,22.830699920654297,Ellipsis
Kuressaare Airport,URE,58.22990036010742,22.50950050354004,Ellipsis
Pärnu Airport,EPU,58.41899871826172,24.47279930114746,Ellipsis
Lennart Meri Tallinn Airport,TLL,59.41329956049999,24.8327999115,Ellipsis
Tartu Airport,TAY,58.3074989319,26.690399169900004,Ellipsis
Enontekio Airport,ENF,68.362602233887,23.424299240112,Ellipsis
Halli Airport,KEV,61.856039,24.786686,Ellipsis
Helsinki Malmi Airport,HEM,60.25460052490234,25.042800903320312,Ellipsis
Helsinki Vantaa Airport,HEL,60.317199707031,24.963300704956,Ellipsis
Hyvinkää Airfield,HYV,60.6543998718,24.8810997009,Ellipsis
Kitee Airport,KTQ,62.1661,30.073601,Ellipsis
Ivalo Airport,IVL,68.607299804688,27.405300140381,Ellipsis
Joensuu Airport,JOE,62.662899017334,29.607500076294,Ellipsis
Jyvaskyla Airport,JYV,62.399501800537,25.678300857544,Ellipsis
Kauhava Airport,KAU,63.127102,23.051399,Ellipsis
Kemi-Tornio Airport,KEM,65.778701782227,24.582099914551,Ellipsis
Kajaani Airport,KAJ,64.285499572754,27.692399978638,Ellipsis
Kauhajoki Airport,KHJ,62.4625015259,22.3931007385,Ellipsis
Kokkola-Pietarsaari Airport,KOK,63.721199035645,23.143100738525,Ellipsis
Kuusamo Airport,KAO,65.987602233887,29.239400863647,Ellipsis
Kittilä Airport,KTT,67.700996398926,24.846799850464,Ellipsis
Kuopio Airport,KUO,63.007099151611,27.797800064087,Ellipsis
Lahti Vesivehmaa Airport,QLF,61.144199,25.693501,Ellipsis
Lappeenranta Airport,LPP,61.044601,28.144743,Ellipsis
Mariehamn Airport,MHQ,60.122200012207,19.898199081421,Ellipsis
Mikkeli Airport,MIK,61.6866,27.201799,Ellipsis
Oulu Airport,OUL,64.930099487305,25.354600906372,Ellipsis
Pori Airport,POR,61.461700439453,21.799999237061,Ellipsis
Rovaniemi Airport,RVN,66.564796447754,25.830400466919,Ellipsis
Savonlinna Airport,SVL,61.943099975586,28.945100784302,Ellipsis
Sodankyla Airport,SOT,67.3949966431,26.6191005707,Ellipsis
